Country,ICT_Goods_Imports,ICT_Service_Exports
Afghanistan,10.8584403991699,0.8337021895827059
Albania,64.7293472290039,0.154119998216629
Algeria,55.5188903808594,0.478650003671646
Andorra,64.2772369384766,0.8337021895827059
Angola,9.91084957122803,0.0322900004684925
Antigua and Barbuda,24.93044090271,0.8337021895827059
Argentina,107.047912597656,0.549470007419586
Armenia,61.1857986450195,0.181150004267693
Australia,106.240760803223,1.8550900220871
Austria,94.5116882324219,3.20047998428345
Azerbaijan,41.3907585144043,0.181779995560646
Bahamas,14.3343200683594,0.8337021895827059
Bahrain,71.9592971801758,0.101159997284412
Bangladesh,23.7743072509766,0.8337021895827059
Barbados,65.0382232666016,0.8337021895827059
Belarus,67.0620422363281,0.578429996967316
Belgium,83.5736465454102,3.40544009208679
Belize,22.705150604248,0.8337021895827059
Benin,10.647970199585,0.8337021895827059
Bhutan,15.0250902175903,0.8337021895827059
Bolivia,44.2026786804199,0.157000005245209
Bosnia and Herzegovina,44.9843902587891,0.192279994487762
Botswana,21.7908344268799,0.560999989509583
Brazil,60.3906211853027,1.14525997638702
Brunei Darussalam,38.2732162475586,0.277640014886856
Bulgaria,84.1293563842773,0.754209995269775
Burkina Faso,10.1689100265503,0.251260012388229
Burundi,6.2220401763916,0.213119998574257
Cabo Verde,20.2174491882324,0.0662200003862381
Cambodia,17.9681453704834,0.118230000138283
Cameroon,15.7919597625732,0.8337021895827059
Canada,77.3137588500977,1.70132994651794
Central African Republic,2.72516989707947,0.8337021895827059
Chile,99.3372802734375,0.360410004854202
China,74.823600769043,2.55518007278442
Colombia,59.2901382446289,0.289400011301041
Comoros,9.6282901763916,0.8337021895827059
Costa Rica,54.7189712524414,0.33788999915123
Croatia,80.7626724243164,1.40322995185852
Cuba,48.9434585571289,0.360119998455048
Cyprus,98.3045806884766,0.745270013809204
Czech Republic,70.8145904541016,1.96420001983643
Democratic Republic of the Congo,6.66692018508911,0.406379997730255
Denmark,84.5866088867188,2.89051008224487
Djibouti,5.21012020111084,0.8337021895827059
Dominica,6.94106006622314,0.8337021895827059
Dominican Republic,55.1665306091309,0.8337021895827059
Ecuador,59.8797798156738,0.438389986753464
Egypt,39.3823089599609,1.03356003761292
El Salvador,32.2285118103027,0.142800003290176
Eritrea,3.00972008705139,0.8337021895827059
Estonia,71.4251937866211,1.78205001354218
Eswatini,6.17659997940063,0.267540007829666
Ethiopia,7.73872995376587,0.274370014667511
Fiji,60.3241920471191,0.8337021895827059
Finland,104.944221496582,2.96468997001648
France,71.4203109741211,2.23311996459961
Gabon,14.7383832931519,0.579240024089813
Gambia,2.66229009628296,0.0693299993872643
Georgia,80.2798004150391,0.252829998731613
Germany,77.3656997680664,3.13235998153687
Ghana,21.990140914917,0.376549988985062
Greece,166.665649414062,1.48596000671387
Grenada,96.8923263549805,0.8337021895827059
Guatemala,27.2776298522949,0.0586300007998943
Guinea,6.7185697555542,0.8337021895827059
Guinea-Bissau,2.52465009689331,0.8337021895827059
Guyana,11.6349601745605,0.8337021895827059
Haiti,1.04627001285553,0.8337021895827059
Honduras,22.1740608215332,0.059969998896122
Hungary,58.0702514648438,1.39472997188568
Iceland,84.985237121582,2.6003999710083
India,33.1165237426758,0.645579993724823
Indonesia,45.1352272033691,0.280680000782013
Iran,60.6945381164551,0.72664999961853
Iraq,15.499340057373,0.0406999997794628
Ireland,76.6049499511719,0.962639987468719
Israel,57.6379203796387,6.01923990249634
Italy,73.8962097167969,1.39014005661011
Jamaica,26.4131107330322,0.0609599985182285
Japan,64.6288299560547,3.40536999702454
Jordan,33.0567016601562,0.695469975471497
Kazakhstan,56.5271034240723,0.144720003008842
Kenya,10.5694704055786,0.808740019798279
Kiribati,44.2026786804199,0.8337021895827059
Kuwait,61.558048248291,0.0975999981164932
Kyrgyzstan,56.0175933837891,0.0587599985301495
Laos,14.901439666748,0.0370999984443188
Latvia,91.3303680419922,0.763819992542267
Lebanon,60.1667213439941,0.8337021895827059
Lesotho,9.7244701385498,0.0510100014507771
Liberia,11.2590703964233,0.8337021895827059
Libya,61.6012802124023,0.8337021895827059
Lithuania,76.9154586791992,1.05318999290466
Luxembourg,21.032600402832,0.976530015468597
Madagascar,6.4074501991272,0.0127499997615814
Malawi,0.851849973201752,0.8337021895827059
Malaysia,41.2618560791016,0.950550019741058
Maldives,49.9534454345703,0.8337021895827059
Mali,4.73440647125244,0.173849999904633
Malta,78.6229400634766,0.604330003261566
Mauritania,5.95125007629395,0.0101899998262525
Mauritius,44.2026786804199,0.234009996056557
Mexico,46.4061317443848,0.268189996480942
Moldova,61.3014030456543,0.223419994115829
Mongolia,65.3136138916016,0.0836500003933907
Montenegro,55.1743011474609,0.36327999830246
Morocco,47.709358215332,0.660359978675842
Mozambique,7.30147504806519,0.308140009641647
Myanmar,20.3939208984375,0.023760000243783
Namibia,28.8917407989502,0.646470010280609
Nepal,17.8263874053955,0.302199989557266
Netherlands,89.3898620605469,2.25533008575439
New Zealand,77.0104675292969,1.46569001674652
Nicaragua,29.5410194396973,0.10741999745369
Niger,4.59342241287231,0.8337021895827059
Nigeria,11.8107748031616,0.284440010786057
North Macedonia,53.1601181030273,0.395020008087158
Norway,97.6419830322266,1.55752003192902
Oman,45.5870094299316,0.367289990186691
Pakistan,11.2206001281738,0.163749992847443
Palau,34.618537902832,0.8337021895827059
Panama,58.173511505127,0.157910004258156
Papua New Guinea,1.95492005348206,0.031580001115799
Paraguay,37.7850494384766,0.119439996778965
Peru,71.2465515136719,0.161779999732971
Philippines,45.2818946838379,0.322219997644424
