Country,ICT_Goods_Imports,ICT_Service_Exports
Afghanistan,0.06034835737261503,0.13704532381908335
Albania,0.3852363161039859,0.023952205543578863
Algeria,0.32968932979040383,0.07795908029274912
Andorra,0.3825097017205518,0.13704532381908335
Angola,0.054633568669037666,0.0036777861725561622
Antigua and Barbuda,0.14521463841190255,0.13704532381908335
Argentina,0.6404537076079154,0.08974463789254064
Armenia,0.36386566664095216,0.02845042181551453
Australia,0.6355858872144693,0.3070202531420278
Austria,0.5648494792052889,0.5309142104211201
Azerbaijan,0.2444845282956157,0.02855526223174623
Bahamas,0.0813109050068318,0.13704532381908335
Bahrain,0.42883914032942405,0.015138832083544105
Bangladesh,0.13824215689569586,0.13704532381908335
Barbados,0.3870991045970984,0.13704532381908335
Belarus,0.39930447578183087,0.09456403364008832
Belgium,0.4988836686159665,0.5650227818464076
Belize,0.13179422161929608,0.13704532381908335
Benin,0.05907904082420576,0.13704532381908335
Bhutan,0.08547684385848493,0.13704532381908335
Bolivia,0.26144282836169985,0.024431483811396256
Bosnia and Herzegovina,0.26615722234462047,0.030302626473545986
Botswana,0.12628010771290674,0.09166340746123297
Brazil,0.3590700617974577,0.18889341825176148
Brunei Darussalam,0.22568306377723218,0.04450787052737965
Bulgaria,0.5022350774899021,0.12381657791074784
Burkina Faso,0.05618989544155283,0.0401178250250274
Burundi,0.03238687142625424,0.03377072948883878
Cabo Verde,0.11679123981437778,0.009324269471466527
Cambodia,0.10322600082139971,0.017979547858975764
Cameroon,0.0901017275989749,0.13704532381908335
Canada,0.46113115515555825,0.28143216882593025
Central African Republic,0.011297732337083699,0.13704532381908335
Chile,0.5939519547368065,0.05828209295987561
China,0.4461133575449146,0.4235262003444697
Colombia,0.3524332019921536,0.04646491808142966
Comoros,0.05292949219416497,0.13704532381908335
Costa Rica,0.32486512860138694,0.05453441136832062
Croatia,0.48193107401544066,0.231823661742812
Cuba,0.2900338135070578,0.05823383135382285
Cyprus,0.5877238869376049,0.12232882500382014
Czech Republic,0.421935573015158,0.32517786532974613
Democratic Republic of the Congo,0.035069880983949,0.06593221962226638
Denmark,0.504992703839358,0.4793303648782753
Djibouti,0.026284122567636622,0.13704532381908335
Dominica,0.03672318054079201,0.13704532381908335
Dominican Republic,0.32756429693477485,0.13704532381908335
Ecuador,0.35598924843119084,0.07125918304272083
Egypt,0.2323718479203027,0.17030479932142664
El Salvador,0.18922829066643432,0.022068381127106133
Eritrea,0.013013815020982443,0.13704532381908335
Estonia,0.4256180369269585,0.2948652519807851
Eswatini,0.032112827907896914,0.04282707119624044
Ethiopia,0.041533816870413236,0.04396369128568421
Fiji,0.3586694368892317,0.13704532381908335
Finland,0.6277666386898408,0.4916750597922997
France,0.42558858936278426,0.36993035517738193
Gabon,0.0837477542084968,0.09469883483755168
Gambia,0.01091851298978844,0.009841822004961762
Georgia,0.4790189399777092,0.040379095337108914
Germany,0.4614444036194609,0.5195779752674877
Ghana,0.12748209746713215,0.06096803905656025
Greece,0.9999999999999998,0.2455912383473247
Grenada,0.5792067771538694,0.13704532381908335
Guatemala,0.15937020904293472,0.008061174687884979
Guinea,0.03538137237151299,0.13704532381908335
Guinea-Bissau,0.010088425265764357,0.13704532381908335
Guyana,0.06503144031269058,0.13704532381908335
Haiti,0.0011725202625437721,0.13704532381908335
Honduras,0.1285912928853446,0.008284171354235224
Hungary,0.34507623421324335,0.2304091319734614
Iceland,0.5073967753714465,0.4310514995109464
India,0.19458376732379074,0.10573884460773718
Indonesia,0.26706689901259767,0.04501377178371739
Iran,0.3609029426082059,0.1192301630701923
Iraq,0.08833697878924411,0.005077341750757197
Ireland,0.4568564271093042,0.15850259243466272
Israel,0.34246890547062386,1.0
Italy,0.4405203908836756,0.22964529819775412
Jamaica,0.15415641427930263,0.00844892279383745
Japan,0.384630110388369,0.565011116930425
Jordan,0.1942229886508375,0.11404131880162026
Kazakhstan,0.3357697226564541,0.022387899145722163
Kenya,0.058605619466809034,0.13289122788233051
Kiribati,0.26144282836169985,0.13704532381908335
Kuwait,0.36611065230877204,0.014546392475689137
Kyrgyzstan,0.33269693835260655,0.008082808345844357
Laos,0.08473112455611528,0.004478245155878802
Latvia,0.5456633788857895,0.12541583194061065
Lebanon,0.3577197529446143,0.13704532381908335
Lesotho,0.05350954019066784,0.00679308747400924
Liberia,0.06276450125571983,0.13704532381908335
Libya,0.366371378281261,0.13704532381908335
Lithuania,0.4587290621316869,0.1735715312690208
Luxembourg,0.12170730360007212,0.16081411059890796
Madagascar,0.03350505352786955,0.0004260240764836017
Malawi,0.0,0.13704532381908335
Malaysia,0.24370713560732699,0.15649063248700296
Maldives,0.29612490412103065,0.13704532381908335
Mali,0.023415159119102472,0.02723558677814593
Malta,0.46902664526430426,0.09887420025773307
Mauritania,0.03075377393370066,0.0
Mauritius,0.26144282836169985,0.03724715218804413
Mexico,0.27473154782530995,0.04293523948603733
Moldova,0.36456286072868566,0.03548481003541491
Mongolia,0.38875994721652235,0.012224894410428622
Montenegro,0.32761115997244844,0.05875970481112396
Morocco,0.2825911257093088,0.10819846554455974
Mozambique,0.038896793250092467,0.04958354725644767
Myanmar,0.11785551619427004,0.0022582605632049664
Namibia,0.1691046880314039,0.1058869572994608
Nepal,0.10237107821805838,0.04859503489915445
Netherlands,0.5339604567647787,0.3736264671276107
New Zealand,0.4593020473139702,0.24221799460735455
Nicaragua,0.17302039735678293,0.01618059413755807
Niger,0.02256490383965323,0.13704532381908335
Nigeria,0.06609175392466957,0.045639496326689365
North Macedonia,0.31546390171514044,0.0640417394586636
Norway,0.5837278524791681,0.25749994710731566
Oman,0.26979153488781404,0.059427030253445416
Pakistan,0.06253249240977801,0.02555478744700672
Palau,0.2036422061583216,0.13704532381908335
Panama,0.3456989811777988,0.02458292189689837
Papua New Guinea,0.006652462485028171,0.0035596311623309986
Paraguay,0.2227389975370993,0.018180910247419958
Peru,0.4245406701845547,0.025226949744477964
Philippines,0.26795143022148,0.05192667773977426
Poland,0.4489328237791356,0.24024430272590586
Portugal,0.45053785406208574,0.2815087247966463
