Country,Adult Literacy Rate,Tertiary Education Enrollment
Afghanistan,-0.22873976247499891,-0.8336835191951435
Albania,-0.6542358833057981,-0.7796436036175421
Algeria,-0.7250139306203929,-0.757620624771003
Andorra,-0.5362566367615965,0.8639276770287302
Angola,3.0930314692478866,1.0252397063954726
Antigua and Barbuda,-0.8771861693587172,-0.8336835191951435
Argentina,0.4228433632290857,-0.40207860455948274
Armenia,0.7473573116405093,0.9108750994175524
Australia,-0.6341152780298862,1.1588672233558717
Austria,0.2010752119412743,0.4274307924181256
Azerbaijan,-0.7254927396128228,-0.6031377917587505
Bahamas,0.0,-0.8325886053587136
Bahrain,-0.16114593100560912,-0.8030061131024677
Bangladesh,-0.03311151800546242,-0.8093006118197656
Barbados,-0.9006499947998908,0.6262486487134389
Belarus,1.8549214840726875,-0.3572379269426324
Belgium,0.330823303154119,0.6447186968082437
Belize,-0.03444140131704409,-0.8336835191951435
Benin,-0.6703265170688376,-0.48377912168043485
Bhutan,-0.8582934025716168,-0.831859345825976
Bolivia,-0.5367303969279958,-0.1870064757067602
Bosnia and Herzegovina,0.232939147595911,-0.4402955688852149
Botswana,-0.5086982100479521,-0.7909578651892765
Brazil,0.20583989510052222,0.046251303525508033
Brunei Darussalam,-0.0283461603139576,-0.752959428280948
Bulgaria,1.190198763530597,0.12129516420032019
Burkina Faso,0.4189830247825719,-0.5328961330456673
Burundi,-0.5787062768107201,-0.7451445388187469
Cabo Verde,-0.7876973249639065,-0.7424338608613253
Cambodia,-0.4170318232111332,0.19856351201937295
Cameroon,-0.08516524337256252,-0.6633071403287712
Canada,0.2566055072446924,0.49347262357723976
Central African Republic,0.0,-0.6849020364640738
Chile,-0.3896179495711165,0.015300070557098836
China,0.6256501303528975,1.2705045602171687
Colombia,0.00018615566001570495,-0.15257677939624026
Comoros,0.11228698701182344,-0.8172984260152523
Costa Rica,0.35193757561650135,1.0811842391125228
Croatia,-0.24117618172159125,0.04017088095409434
Cuba,0.0,-0.20994114098432587
Cyprus,1.7505338589937403,0.6331932284466397
Czech Republic,0.672671192860885,0.9407424071204635
Democratic Republic of the Congo,-0.618723411426039,-0.817874383814637
Denmark,-0.24409544012733278,0.5282462799907828
Djibouti,-0.09096542207401705,-0.5742656821178306
Dominica,-0.752403405033292,-0.6053291257957149
Dominican Republic,-0.8806953370742074,-0.35603718903498704
Ecuador,-0.7170077023002797,-0.257568152102778
Egypt,-0.5396105989314948,-0.5818590036931491
El Salvador,-0.1893678346578634,-0.4002077873124966
Eritrea,0.27522084784906714,1.4068649608458944e-16
Estonia,1.1523019071311058,0.47953538115834377
Eswatini,-0.5518873746237756,-0.8110873473213633
Ethiopia,-0.7329125719629757,-0.5366364097703629
Fiji,-0.7753842994874451,-0.7032580250862032
Finland,1.7098967754841352,-0.06433821000173906
France,-0.24977090984728112,1.0417364984625714
Gabon,-0.8526618875369327,-0.6932521353102499
Gambia,-0.8833328493711686,-0.6481738535480019
Georgia,0.19695158391865364,-0.5375951977163305
Germany,0.04413668276320434,0.5800978912724002
Ghana,-0.7374075722295855,-0.6665696865025145
Greece,-0.6720854715260633,0.3552187135324003
Grenada,-0.8583027510179951,-0.5954704559025448
Guatemala,0.3197421702943464,-0.37617799820044595
Guinea,3.259413396024446,-0.7624062464311115
Guinea-Bissau,1.412628831506939,-0.37381570773679157
Guyana,-0.8445188293697375,0.4108482392793454
Haiti,-0.793453448882609,1.4068649608458944e-16
Honduras,-0.6605334945672984,-0.5716192054614513
Hungary,-0.05042676881577209,0.5832949060898082
Iceland,-0.22001655565936984,3.440892753285651
India,3.3364278154457483,0.3491086688146935
Indonesia,-0.1911941700964074,-0.11430797587548673
Iran,0.0,-0.7692145341581109
Iraq,-0.778024541279752,1.4068649608458944e-16
Ireland,4.137586819370041,2.9499733559991865
Israel,4.538189288707369,2.1202403729133588
Italy,-0.3506573160383679,-0.04298015213191233
Jamaica,-0.7068021861301312,-0.6240433665673449
Japan,-0.41982316389886937,0.5566424664518109
Jordan,-0.8901106793783654,-0.6686191916489757
Kazakhstan,-0.3135720903337469,1.8931012813479091
Kenya,0.32085929911632355,-0.5927829945570401
