Country,Mobile Subscriptions,Internet Users
Afghanistan,-1.0769969307196317,-3.201688509190226
Albania,0.37162873279634767,0.8231001574597229
Algeria,-0.3052855222805198,-0.29547454622830743
Andorra,2.2651034596048363,0.0
Angola,-1.0580039134344825,-0.8849807865764322
Antigua and Barbuda,-0.3911281842572857,0.8558220165381777
Argentina,0.5583425068042941,0.7249345802243582
Armenia,0.11762657780864802,0.9212657346950874
Australia,1.273633329131608,0.0
Austria,0.8358609837669386,0.0
Azerbaijan,0.2687973881493738,0.9212657346950874
Bahamas,0.45859707290891544,0.0
Bahrain,0.020611236863318068,0.7903782983812679
Bangladesh,-0.5960358928704972,-0.6493835010707462
Barbados,1.342836656825139,0.8885438756166326
Belarus,1.188146484956389,0.9212657346950874
Belgium,1.7451242632537498,0.0
Belize,-0.45116046985131714,0.32677751940365185
Benin,-1.0711258917082105,-2.540707055664626
Bhutan,-0.9968581768981932,-0.9046141017418833
Bolivia,-0.37070424244850964,0.5286034257536291
Bosnia and Herzegovina,0.7620190858241541,0.8100116135467181
Botswana,-0.8614313338637195,0.05892571582441943
Brazil,0.40006180984720946,0.5737597510565956
Brunei Darussalam,0.22541996343355378,0.7635461342748793
Bulgaria,1.252006076212147,0.8178645401761422
Burkina Faso,-1.0778496513157454,-3.365952131918961
Burundi,-1.0808619660071517,-0.679487551507414
Cabo Verde,-0.6144336140348294,0.3322722712828998
Cambodia,-0.8904356602214281,-0.14023145369733786
Cameroon,-0.9409643758068778,-0.5034437898906216
Canada,1.7110045707927157,0.0
Central African Republic,-1.0811375307209132,-3.1696209774482322
Chile,0.4054896486744389,0.7354058147915195
China,1.81151986502235,0.7249345802243582
Colombia,0.02001605072254918,0.6594908620674486
Comoros,-1.057080598586542,-1.584574293448497
Costa Rica,0.37493460364344433,0.792996107023055
Croatia,0.7597224436505351,0.8852714899904098
Cuba,-0.8899601582502702,0.8998729006180108
Cyprus,1.423568481288781,0.8793817950183437
Czech Republic,1.3713408974363106,0.0
Democratic Republic of the Congo,-1.0800931795957154,-0.35226896072286534
Denmark,1.7955792275130613,0.0
Djibouti,-0.986944446005647,0.0
Dominica,0.267348239284893,0.0
Dominican Republic,-0.3618346750681383,0.6267690029889936
Ecuador,-0.042679045909965456,0.5286034257536291
Egypt,-0.31449796863329044,-0.7475490783061108
El Salvador,-0.39116700074472716,0.2668285531259901
Eritrea,-1.0714781513317415,-0.6120466495688603
Estonia,1.3599223807139504,0.9127582310812277
Eswatini,-0.9045105185676977,0.31571611702901764
Ethiopia,-1.0529637219285017,-2.235007620831343
Fiji,-0.9182580245365444,0.0
Finland,1.2035825081289386,0.0
France,2.063199500178136,0.0
Gabon,-0.8683988933594596,-0.015233712355592047
Gambia,-1.0682158843388707,-1.7835232565610197
Georgia,0.7908985524805927,0.9212657346950874
Germany,1.853674570383764,0.0
Ghana,-1.0394222021196775,-0.36274019529002005
Greece,1.7455706528593267,0.5286034257536291
Grenada,0.8435984035969342,0.816555885503221
Guatemala,-0.7534781536988465,-0.1892373507394278
Guinea,-1.0817721356516201,-2.65654221711214
Guinea-Bissau,-1.0620939420220423,-2.095689572479263
Guyana,-0.24532051859805354,0.268791784783348
Haiti,-1.062330528512998,-1.1722881559645513
Honduras,-0.7928885333981502,0.20138483496908036
Hungary,1.2979324502699554,0.8623662884946796
Iceland,1.3389744163247148,0.0
India,-0.9299967772802962,-0.5839397829138364
Indonesia,-0.7705697000607741,0.6594908620674486
Iran,-0.3045156619462644,0.19876702632729332
Iraq,0.03258612323900542,0.005053680498351159
Ireland,0.977677020634275,0.0
Israel,0.8500936958288033,0.39771598943980957
Italy,1.1040440954999142,0.8558220165381777
Jamaica,-0.06096808090946196,-0.38760862844310723
Japan,1.4115418395965054,0.0
Jordan,-0.6268937065035348,0.5940471439105388
Kazakhstan,0.05867080279965949,0.9081771907820827
Kenya,-0.9276347940194839,-0.1991308998977457
Kiribati,-1.0606996537931455,0.7877415164935544
