"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0681400299072","27.9737606048584","29.2280101776123","28.9244194030762","29.7826900482178","29.2934494018555","34.4230117797852","32.7392082214355","34.9405097961426","35.1520881652832","33.9885482788086","35.2336311340332","37.1292991638184","38.0075416564941","16.9757099151611","17.7213401794434","16.781810760498","17.5637798309326","","","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","1.83012998104095","1.83247005939484","1.8614000082016","1.88768005371094","1.95048999786377","1.99505996704102","2.02551007270813","2.05232000350952","2.12987995147705","2.17006993293762","2.22383999824524","2.25886988639832","2.35362005233765","2.37891006469727","2.47049999237061","2.57978010177612","2.71320009231567","2.83267998695374","2.94925999641418","3.10331010818481","3.13509011268616","3.25391006469727","3.35310006141663","3.5731999874115","3.76291990280151","3.68391990661621","3.63452005386353","3.60538005828857","3.59977006912231","3.65201997756958","3.88636994361877","4.20995998382568","4.47115993499756","4.77924013137817","5.06202983856201","5.30094003677368","5.57385015487671","5.73407983779907","6.14678001403809","6.7424898147583","7.33560991287231","7.72187995910645","8.03396987915039","8.26618003845215","8.40075969696045","8.56680965423584","8.72994041442871","8.89616012573242","8.95779037475586","8.89772033691406","8.94729042053223","8.89552021026611","","","",
"Afghanistan","AFG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.806509971618652","0.97723001241684","1.01449000835419","1.17183995246887","1.09765005111694","1.19384002685547","1.34808003902435","1.4954400062561","1.90880000591278","2.0331699848175","","","2.19055008888245","","","","2.37948989868164","1.88179004192352","","","2.46528005599976","","","","","","","","","","","","","1.38107001781464","1.38966000080109","","","","","4.02480983734131","","3.75560998916626","","","8.31087017059326","","","","9.96378993988037","","10.8584403991699","","","","",
"Africa Western and Central","AFW","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","0.621070027351379","0.622600018978119","0.665459990501404","0.728039979934692","0.789539992809296","0.833299994468689","0.929059982299805","1.0869699716568","1.22565996646881","1.49164998531342","1.64664995670319","1.918869972229","2.05201005935669","2.14720988273621","2.2175600528717","2.41463994979858","2.55904006958008","2.53029990196228","2.7177300453186","2.84406995773315","2.951819896698","3.05571007728577","3.1943199634552","3.37288999557495","3.53220009803772","3.67533993721008","3.86939001083374","4.09748983383179","4.25322008132935","4.42211008071899","5.04572010040283","5.5334300994873","6.0457501411438","6.54757976531982","6.74177980422974","7.17052984237671","7.23658990859985","7.47082996368408","7.730299949646","7.87613010406494","8.161789894104","8.46137046813965","8.84718990325928","9.40435981750488","9.65843963623047","9.70506000518799","9.50119018554688","9.61843013763428","9.80346965789795","9.94627952575684","10.1394596099854","10.3955497741699","","","",
"Angola","AGO","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.566200017929077","0.552250027656555","0.580709993839264","0.589290022850037","0.555729985237122","","","","","","0.588230013847351","0.531930029392242","","","0.754029989242554","2.77182006835938","2.07171010971069","2.55246996879578","2.48175001144409","","","","","6.3326301574707","","9.11637020111084","","8.68379020690918","9.66034030914307","9.65568923950195","9.35254287719727","11.0613594055176","","","","9.91084957122803","",
"Albania","ALB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","11.9989099502563","12.7610702514648","","","","","","4.79421997070312","","","4.3221697807312","","5.10438013076782","5.76454019546509","6.30606985092163","6.60047006607056","6.81339979171753","7.3299298286438","7.87123012542725","8.22387027740479","8.84414958953857","9.19696998596191","10.9803495407104","10.3690004348755","9.96251010894775","10.8271703720093","12.585599899292","13.4036703109741","14.5365200042725","","","16.3895606994629","16.3662395477295","19.1295795440674","22.389009475708","26.2101001739502","30.2319297790527","31.6839599609375","32.9239883422852","43.3279304504395","49.3997001647949","58.6214218139648","63.8440589904785","65.5507125854492","61.9608497619629","58.4884796142578","58.0177803039551","56.0802993774414","61.4085083007812","61.5853004455566","59.9698715209961","62.6479187011719","64.7293472290039","",
"Andorra","AND","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.82690000534058","7.34165000915527","7.65849018096924","7.87655019760132","9.31690979003906","","11.742130279541","","","","13.2810401916504","14.7599496841431","13.7001399993896","13.8819599151611","15.1089096069336","15.4369401931763","15.3940296173096","15","15.0982704162598","15.204270362854","34.4803504943848","64.2772369384766","",
"Arab World","ARB","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","5.72864007949829","5.72882986068726","5.99220991134644","6.35013008117676","6.75883007049561","7.31947994232178","8.01286029815674","8.7765998840332","9.25222015380859","9.21523952484131","9.52447986602783","10.0411901473999","10.374529838562","10.4992904663086","10.7181701660156","10.6651000976562","10.9655103683472","11.019570350647","11.0783100128174","10.7546195983887","10.7665395736694","10.4471197128296","11.0596799850464","11.8874197006226","12.3969202041626","13.1482000350952","14.0633296966553","14.9735803604126","15.7698001861572","17.0578708648682","17.3171901702881","17.9327297210693","18.8252601623535","18.9188594818115","20.1249408721924","21.1616497039795","21.5791606903076","22.1197891235352","22.8732795715332","23.6656398773193","24.4713497161865","23.4629592895508","24.8367595672607","26.5631008148193","27.9699592590332","29.491569519043","30.0734405517578","31.1787700653076","32.5794486999512","33.1554298400879","33.8652381896973","33.8605003356934","33.9740295410156","35.126350402832","",
"United Arab Emirates","ARE","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.5684204101562","55.7540512084961","","","61.3456115722656","",
"Argentina","ARG","School enrollment, tertiary (% gross)","SE.TER.ENRR","","","","","","","","","","","13.3775901794434","15.4409799575806","16.6208095550537","19.7516307830811","22.8830108642578","27.0771598815918","27.011739730835","23.9647407531738","21.2509994506836","22.1204700469971","21.7159004211426","23.1923408508301","23.9549007415771","24.9827709197998","28.7928295135498","35.5128898620605","37.5073890686035","39.4006881713867","","","","38.2797012329102","","","37.1375999450684","","","","47.9915618896484","49.6384315490723","54.3332710266113","58.791690826416","62.0592613220215","64.4024505615234","64.8878479003906","63.732349395752","67.1185913085938","66.9094467163086","68.816291809082","71.0374603271484","74.1875305175781","77.4296112060547","78.4559097290039","78.7686614990234","81.1694107055664","83.762580871582","86.6178817749023","89.2329406738281","90.9728317260742","95.0775527954102","99.266227722168","107.130661010742","107.047912597656","","",
