"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.9","210.93","172.07","165.6","158.76","168.62","255.89","287.37","369.87","359.53","285.61","416.03","482.58","630.91","603.88","640.75","679.97","476.47","391.27","449.94","592.94","732.12","810.68","924.14","1033.88","1014.28","1174.57","","",
"Burundi","BDI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82","13.35","3.81","6.1","1.65","3.58","0.93","4.42","5.02","4.3","5.63","4.48","2.54","3.33","12.37","10.02","10.65","14.28","12.91","12.5","11.72","13.19","20.41","29.9","35.24","26.93","27.99","","",
"Belgium","BEL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8826.61","9009.03","9409.54","9244.92","9593.02","9951.02","10242.87","10883.66","11535.55","12766.14","13014.6","13622.59","14332.71","14799.65","15080.34","15583.08","16327.84","16589.95","16888.19","16730.49","16792.56","16305.94","16529.95","16644.86","16947.47","18319.58","17612.3","","",
"Benin","BEN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.51","45.95","40.3","42.5","45.48","42.87","44.73","46.42","60.84","60.94","77.59","93.97","92.83","117.63","105.59","128.9","143.3","178.78","179.52","180","173.32","207.64","233.16","276.96","317.18","381.61","413.69","","",
"Burkina Faso","BFA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.72","52.2","84.78","61.62","48.5","63.92","71.81","76.54","71.32","72.52","99.37","105.16","119.4","129.04","124.54","150.19","189","163.87","169.34","192.98","205.94","208.93","254.91","261.75","261.62","331.81","411.23","","",
"Bangladesh","BGD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368.49","396.28","389.76","407.26","444.19","434.28","420.78","493.64","531.3","593.35","740.2","871.17","1056.49","1159.19","1426.96","1391.46","1921.35","1787.42","2408.26","2182.74","2590.98","3126.85","3182.44","5204.89","5121.48","7551.78","7056.17","","",
"Bulgaria","BGR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1909.71","1753.32","1764.7","1800.04","1676.87","1657.78","1680.94","1714.23","1850.12","2032.9","1932.09","2469.59","2345.31","2682.99","2606.28","2459","2648.91","2680.44","2661.88","2554.77","2544.29","2963.85","3375.36","4302.46","4559.2","4858.99","4784.13","","",
"Bahrain","BHR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.81","71.24","90.92","89.99","85.53","83.76","71","132.81","142.48","161.53","182.09","177.24","160.23","189.71","213","180.98","159.51","241.91","214.55","180.86","234.78","255.57","337.97","465.67","509","650.35","671.6","","",
"Bahamas, The","BHS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","3.08","4.1","2.7","1.7","5.19","5.13","3.66","3.03","7.37","6.12","11.14","6.05","9.83","9.2","10.78","8.01","18.89","15.89","12.77","13.91","20.78","20.64","19","21.42","22.14","17.75","","",
"Bosnia and Herzegovina","BIH","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.17","43.07","42.43","107.02","76.59","68.64","113.91","155.74","208.97","256.37","298.29","324.95","398.8","458.34","491.73","551.18","550.32","490.13","491.61","584.17","584.92","748.93","761.17","829.49","1004.72","1122.99","1039.36","","",
